round,date,grand_prix,sprint
1,2026-03-08,australia,false
2,2026-03-15,china,true
3,2026-03-29,japan,false
4,2026-05-03,miami,true
5,2026-05-24,canada,true
6,2026-06-07,monaco,false
7,2026-06-14,barcelona-catalunya,false
8,2026-06-28,austria,false
9,2026-07-05,great-britain,true
10,2026-07-19,belgium,false
11,2026-07-26,hungary,false
12,2026-08-23,netherlands,true
13,2026-09-06,italy,false
14,2026-09-13,spain,false
15,2026-09-26,azerbaijan,false
16,2026-10-11,singapore,true
17,2026-10-25,united-states,false
18,2026-11-01,mexico,false
19,2026-11-08,sao-paulo,false
20,2026-11-22,las-vegas,false
21,2026-11-29,qatar,false
22,2026-12-06,abu-dhabi,false
