team_id,elo,attack,defense
ESP,2129,0,0
ARG,2115,0,0
FRA,2063,0,0
ENG,2024,0,0
POR,1989,0,0
BRA,1978,0,0
NED,1975,0,0
GER,1958,0,0
BEL,1925,0,0
CRO,1900,0,0
MAR,1898,0,0
URU,1895,0,0
COL,1888,0,0
SUI,1858,0,0
NOR,1855,0,0
JPN,1850,0,0
TUR,1845,0,0
SEN,1840,0,0
ECU,1825,0,0
AUT,1820,0,0
IRN,1820,0,0
SWE,1818,0,0
SCO,1815,0,0
CZE,1812,0,0
USA,1808,0,0
EGY,1808,0,0
KOR,1805,0,0
MEX,1800,0,0
PAR,1800,0,0
CIV,1798,0,0
ALG,1790,0,0
CAN,1788,0,0
COD,1785,0,0
BIH,1780,0,0
AUS,1768,0,0
TUN,1762,0,0
GHA,1758,0,0
UZB,1748,0,0
RSA,1745,0,0
PAN,1735,0,0
JOR,1730,0,0
CPV,1660,0,0
QAT,1718,0,0
IRQ,1580,0,0
SAU,1702,0,0
NZL,1600,0,0
CUW,1400,0,0
HAI,1520,0,0
