team_id,fifa_rank,fifa_points
ESP,1,1875.37
FRA,2,1870.92
ARG,3,1870.32
ENG,4,1820.44
POR,5,1779.55
BRA,6,1761.60
NED,7,1754.17
BEL,8,1739.54
CRO,9,1714.20
MAR,11,1706.27
GER,12,1704.27
COL,13,1692.10
MEX,14,1688.38
URU,15,1673.65
USA,16,1670.04
SUI,17,1648.30
SEN,18,1645.23
JPN,19,1640.47
IRN,21,1622.61
AUT,22,1601.86
KOR,23,1593.19
ECU,24,1588.04
AUS,25,1583.49
CAN,26,1558.04
TUR,27,1555.72
PAN,29,1529.71
NOR,31,1526.23
SWE,32,1524.62
EGY,35,1519.18
PAR,37,1501.01
ALG,38,1500.74
CZE,39,1500.29
SCO,43,1485.08
CIV,44,1483.90
TUN,46,1483.02
QAT,53,1453.65
UZB,54,1453.31
RSA,55,1448.67
IRQ,58,1422.20
SAU,59,1420.65
COD,60,1407.60
JOR,62,1391.33
CPV,70,1363.21
BIH,73,1344.25
GHA,75,1340.84
NZL,83,1283.94
CUW,84,1282.42
HAI,87,1269.24
